Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000040760,7.04,9.27,Appl1
ENSMUSG00000006589,7.66,10.62,Aprt
ENSMUSG00000028411,5.42,9.26,Aptx
ENSMUSG00000046532,5.78,8.09,Ar
ENSMUSG00000001127,14.29,14.7,Araf
ENSMUSG00000032096,6.68,9.91,Arcn1
ENSMUSG00000048076,10.25,12.31,Arf1
ENSMUSG00000062421,5.32,8.84,Arf2
ENSMUSG00000051853,11.96,10.07,Arf3
ENSMUSG00000021877,9.49,12.35,Arf4
ENSMUSG00000020440,6.62,10.83,Arf5
ENSMUSG00000044147,6.57,8.83,Arf6
ENSMUSG00000027575,4.92,7.19,Arfgap1
ENSMUSG00000027255,2.86,7.14,Arfgap2
ENSMUSG00000038671,7.74,9.62,Arfrp1
ENSMUSG00000040459,5.89,8.94,Arglu1
ENSMUSG00000041225,2.6,7.31,Arhgap12
ENSMUSG00000053199,5.69,8.68,Arhgap20
ENSMUSG00000036452,6.31,7.46,Arhgap26
ENSMUSG00000025132,5.22,7.44,Arhgdia
ENSMUSG00000073433,13.23,12.87,Arhgdig
ENSMUSG00000037509,6.6,7.71,Arhgef4
ENSMUSG00000004562,7.39,7.44,Arhgef40
ENSMUSG00000025656,3.87,8.02,Arhgef9
ENSMUSG00000048118,9.08,10.28,Arid4a
ENSMUSG00000039219,7.79,11.08,Arid4b
ENSMUSG00000064145,1.71,7.24,Arih2
ENSMUSG00000060904,11.17,12.14,Arl1
ENSMUSG00000057594,11.22,10.56,Arl16
ENSMUSG00000024944,12.45,11.88,Arl2
ENSMUSG00000031776,5.48,8.69,Arl2bp
ENSMUSG00000025035,13.25,12.44,Arl3
ENSMUSG00000047446,8.37,12.86,Arl4a
ENSMUSG00000049866,5.97,7.92,Arl4c
ENSMUSG00000036093,7.25,9.48,Arl5a
ENSMUSG00000022722,10.75,11.06,Arl6
ENSMUSG00000030654,11.83,12.07,Arl6ip1
ENSMUSG00000029404,12,7.74,Arl6ip4
ENSMUSG00000035199,9.52,10.71,Arl6ip5
ENSMUSG00000026426,8.46,9.76,Arl8a
ENSMUSG00000030105,10.57,9.99,Arl8b
ENSMUSG00000027599,6.35,10.23,Armc1
ENSMUSG00000038525,2.97,7.87,Armc10
ENSMUSG00000032468,8.21,10.78,Armc8
ENSMUSG00000033460,9.49,8.26,Armcx1
ENSMUSG00000049047,3.1,8.73,Armcx3
ENSMUSG00000072969,2.07,8.21,Armcx5
ENSMUSG00000036242,2.64,9.59,Armh4
ENSMUSG00000029621,11.71,10.7,Arpc1a
ENSMUSG00000006304,12.26,12.44,Arpc2
ENSMUSG00000079426,8.49,10.27,Arpc4
