# metadata = mmc_output.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
O299,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,0.7500,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9900
O301,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O427,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,0.9800,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O430,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.7100,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.5600
O433,CS20230722_CLAS_07,07 CTX-MGE GABA,0.8600,CS20230722_SUBC_052,052 Pvalb Gaba,0.9900,CS20230722_SUPT_0205,0205 Pvalb Gaba_1,0.8100,CS20230722_CLUS_0736,0736 Pvalb Gaba_1,594,1.0000
O434,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O435,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9900,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.7700
O439,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9900,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.9800,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.6800
O440,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.9800,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.5100
O454,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9700,CS20230722_SUBC_052,052 Pvalb Gaba,0.5400,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
