# metadata = result.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Tashia,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.8600,CS20230722_SUPT_0177,0177 Vip Gaba_5,0.6000,CS20230722_CLUS_0642,0642 Vip Gaba_5,631,1.0000
Ivis,CS20230722_CLAS_06,06 CTX-CGE GABA,0.7600,CS20230722_SUBC_046,046 Vip Gaba,0.9400,CS20230722_SUPT_0182,0182 Vip Gaba_10,0.7500,CS20230722_CLUS_0659,0659 Vip Gaba_10,691,0.9300
Alison,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8800,CS20230722_SUBC_046,046 Vip Gaba,0.6200,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.6700,CS20230722_CLUS_0654,0654 Vip Gaba_9,644,0.5400
Mikale,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9100,CS20230722_SUBC_046,046 Vip Gaba,0.8800,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9300,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9800
Penny,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9400,CS20230722_SUBC_046,046 Vip Gaba,0.9400,CS20230722_SUPT_0179,0179 Vip Gaba_7,0.6800,CS20230722_CLUS_0650,0650 Vip Gaba_7,647,1.0000
Medhansh,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9200,CS20230722_SUBC_046,046 Vip Gaba,0.9500,CS20230722_SUPT_0179,0179 Vip Gaba_7,0.3700,CS20230722_CLUS_0650,0650 Vip Gaba_7,647,0.9900
Ameya,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9200,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9800
Kalayah,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8700,CS20230722_SUBC_046,046 Vip Gaba,0.8900,CS20230722_SUPT_0177,0177 Vip Gaba_5,0.4600,CS20230722_CLUS_0642,0642 Vip Gaba_5,631,0.9700
Annahi,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9000,CS20230722_SUBC_046,046 Vip Gaba,0.8500,CS20230722_SUPT_0174,0174 Vip Gaba_2,0.6500,CS20230722_CLUS_0631,0631 Vip Gaba_2,662,0.9600
Daniel,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9800,CS20230722_SUBC_046,046 Vip Gaba,0.7400,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.8700,CS20230722_CLUS_0654,0654 Vip Gaba_9,644,0.8000
Beckam,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9800,CS20230722_SUBC_046,046 Vip Gaba,0.9500,CS20230722_SUPT_0173,0173 Vip Gaba_1,1.0000,CS20230722_CLUS_0625,0625 Vip Gaba_1,686,1.0000
Jahkari,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9600,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.4300,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9400
Kemariya,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9600,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Jazmynn,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9200,CS20230722_SUBC_046,046 Vip Gaba,0.8800,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.6400,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Melanee,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9700,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.8700,CS20230722_CLUS_0657,0657 Vip Gaba_9,657,0.5900
Milos,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9200,CS20230722_SUBC_046,046 Vip Gaba,0.9300,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9900,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Emalie,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.7500,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Annely,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9900,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9400,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
