source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-46-Lamp5-Kit,class,06 CTX-CGE GABA,164,1.0,0.30091743119266057,0.46262341325811,1.0
GABA-46-Lamp5-Kit,subclass,049 Lamp5 Gaba,167,0.9881656804733728,0.9226519337016574,0.9542857142857143,1.0
GABA-46-Lamp5-Kit,supertype,0199 Lamp5 Gaba_1,167,0.9766081871345029,0.9823529411764705,0.9794721407624634,1.0
GABA-46-Lamp5-Kit,cluster,0710 Lamp5 Gaba_1,35,0.3977272727272727,1.0,0.5691056910569106,0.93
GABA-47-Reln-Ndnf,class,06 CTX-CGE GABA,63,1.0,0.11559633027522936,0.20723684210526316,1.0
GABA-47-Reln-Ndnf,subclass,048 RHP-COA Ndnf Gaba,62,0.9253731343283582,0.8985507246376812,0.9117647058823529,1.0
GABA-47-Reln-Ndnf,supertype,0194 RHP-COA Ndnf Gaba_2,45,0.6818181818181818,0.8490566037735849,0.7563025210084033,1.0
GABA-47-Reln-Ndnf,cluster,0690 RHP-COA Ndnf Gaba_2,19,0.37254901960784315,0.9047619047619048,0.5277777777777779,0.99
GABA-48-Reln-Crim1,class,11 CNU-HYa GABA,69,0.8518518518518519,0.05021834061135371,0.09484536082474228,0.97
GABA-48-Reln-Crim1,subclass,073 MEA-BST Sox6 Gaba,78,0.8571428571428571,0.5492957746478874,0.6695278969957082,1.0
GABA-48-Reln-Crim1,supertype,0338 MEA-BST Sox6 Gaba_2,60,0.6741573033707865,0.9375,0.7843137254901961,1.0
GABA-48-Reln-Crim1,cluster,1193 MEA-BST Sox6 Gaba_2,20,0.32786885245901637,1.0,0.49382716049382713,1.0
GABA-49-Npnt-Calca,class,11 CNU-HYa GABA,34,1.0,0.024745269286754003,0.048295454545454544,0.985
GABA-49-Npnt-Calca,subclass,073 MEA-BST Sox6 Gaba,39,0.9512195121951219,0.2746478873239437,0.42622950819672134,1.0
GABA-49-Npnt-Calca,supertype,0345 MEA-BST Sox6 Gaba_9,26,0.65,1.0,0.787878787878788,1.0
GABA-49-Npnt-Calca,cluster,1233 MEA-BST Sox6 Gaba_9,13,0.4642857142857143,1.0,0.6341463414634146,1.0
GABA-5-Pax6-Enpp2,class,11 CNU-HYa GABA,10,0.5263157894736842,0.00727802037845706,0.014357501794687725,0.925
GABA-5-Pax6-Enpp2,subclass,064 STR-PAL Chst9 Gaba,12,0.5217391304347826,0.042704626334519574,0.07894736842105264,0.99
GABA-5-Pax6-Enpp2,supertype,0289 STR-PAL Chst9 Gaba_5,12,0.5454545454545454,0.2608695652173913,0.3529411764705882,1.0
GABA-5-Pax6-Enpp2,cluster,1013 STR-PAL Chst9 Gaba_5,9,0.6,0.9,0.7200000000000001,1.0
GABA-50-Chat-Vip,class,08 CNU-MGE GABA,6,0.6666666666666666,0.03821656050955414,0.07228915662650602,1.0
GABA-50-Chat-Vip,subclass,058 PAL-STR Gaba-Chol,6,0.6666666666666666,0.8571428571428571,0.75,1.0
